"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"Just-A-Girl-14","11 August 2021","This movie is meant to shock the viewer. It is a statement on human society that is even more true now than it was 26 years ago when the movie came out. Whether you agree or not, whether you're shocked or not, it is a good strong movie with a great cast. Highly recommended.","
            6/10
            "
"planktonrules","20 January 2015","I think the audience for ""Se7en"" is rather self-selecting. If you don't mind an ultra-gory cop film with a lot of expletives, then you will be delighted. If you are looking for something family-friendly or 'nice', then you wouldn't even consider watching this in the first place. While I don't think I'd put myself in either group, I am not really a bit fan of gore and although I can respect the film, it really isn't a film for me. So why did I watch it? Well, with well over 17000 reviews and an overall IMDb score that places it near the top of all films, then it's natural I'd get to it sooner or later.As for the film, I won't say much--there are already TONS of reviews for this one. Suffice to say that the plot is exceptional--complex, shocking and worth seeing. The acting also is quite nice all around. The bottom line is that this IS a quality production and if it's the sort of thing you'd normally watch, watch away and enjoy.","
            9/10
            "
"moonspinner55","3 October 2005","There's a serial killer on the loose in rainy New York City who's modus operandi is to stage seven grisly crime scenes modelled after the Seven Deadly Sins. He is soon aware of the two homicide detectives on the case and becomes enamored with their drive and determination. Hit thriller from director David Fincher and screenwriter Andrew Kevin Walker is mostly left vague and unexplained. We learn precious little about the psychopath except that he's highly literate and educated, with too much strict religion in his background. This is all hoary police-movie fodder, as is the set-up with the detectives: the wise codger about to retire and his cocky new partner with the short fuse. Fincher mounts the tension well, with staccato glimpses of corpses and gore, but can't escape a fatigued sense of déjà vu (it has ""The Silence of the Lambs""-itis). Brad Pitt gets off to an awkward, hesitant start in his role, but does improve. Freeman is sensational; whether throwing his knife at a dartboard or studying up on literature at the library, he is focused and gripping. The lust-and-death-soaked atmosphere is wallowed in--it's the Big Apple as a Gothic Hell--and, certainly, the grimy vibes are palpable and captured successfully, but they're also off-putting. Words written in blood on the walls...it's too much like ugly crime scenes from the evening news, and Fincher and Walker aren't clever enough to distract us nor cunning enough to help us distinguish the difference (the killer does leave clues, but they are quickly solved). The narrative is a mix of derivative movie-thriller ideas and new-fangled ways of making the viewer as squeamish as possible. It's the old pulling-wings-off-flies number, but on a larger, sick-making scale. **1/2 from ****","
            9/10
            "
"MadReviewer","18 May 2001","`Se7en' is all about harsh style and gruesome substance  while it's probably not a film for everyone (particularly the squeamish), it is one of the most moody, memorable films made in recent years.  A sense of absolute dread pervades each and every scene, either from the powerful words and deeds of the characters or from the dreary sets and atmosphere created by director David Fincher.  There's a quote from the film `The Crow' that goes, `It can't rain all the time' . . . well, in the world of `Se7en', it can  and it does.`Se7en' is the story of world-weary police detective William Somerset (Morgan Freeman), a man who's probably seen more terror and sadness in his lifetime than any man should ever be forced to see.  Partnered with the young cop David Mills (Brad Pitt), Somerset is assigned to find the serial killer known only as John Doe.  The horrific crimes of Doe are patterned after the Seven Deadly Sins  for Gluttony, one victim was literally forced to eat until his internal organs exploded; for another, Greed, the victim is forced to cut an actual pound of flesh away from his own body.  John Doe is a highly literate, intelligent killer; but so is Somerset, and an astounding game of cat-and-mouse filled with unexpected twists ensues as the hunt for Doe gets underway.Andrew Kevin Walker's script for `Se7en' is absolutely dazzling.  It's smart and powerful, and doesn't pull any punches  the bodies, maimed and tortured, inexorably begin to pile up in graphic fashion, and Somerset and Mills aren't allowed to minimize the horrors they're forced to find.  Each new corpse brings a true feeling of revulsion . . . and of dread, as the realization hits that another body will be forthcoming unless John Doe is found.  The story is filled with misdirection and red herrings; just as the audience starts to think that the unfolding events of the film are starting to become predictable, the film lurches further into the unknown darkness, keeping the edge of uneasiness that pervades `Se7en' fresh . . . and constant.  Kudos also to David Fincher's stylish direction  this may be Fincher's best film to date.  The entire look of the film is dark and gloomy, almost a suicidal form of 1940s film noir, evoking a despairing atmosphere that never relents or shows a glimmer of optimism.  Combine that with Fincher's knack for turning even the most mundane scene into a nailbiter  `Se7en' features a scene with Somerset and Mills standing together in an empty field, and yet the scene is still incredibly tense  and `Se7en' becomes an exceptionally powerful, disturbing film that's difficult to turn away from.The cast?  Also excellent.  Pitt is perfect as the cocky young detective Mills, mixing together the right amount of bravado and testosterone at the start of the film, and then later tempering that swagger with cynicism  and fear  as the movie progresses forward.  In a way, Mills is a surrogate for the audience; he starts out thinking that he knows exactly what's going to happen but as events slowly unfold before his horrified eyes, it starts to dawn on Mills that he is mentally unprepared he is for a maniac like John Doe.  Pitt handles the decline of Mills from overconfident to completely paranoid with great skill.  The killer John Doe (I won't reveal his name here; the actor's uncredited in the film, so I won't mention it either on the off chance that you haven't read it elsewhere) is simply great.  He's a quiet, intense figure who is Machiavellian with his calculated words and actions.  Many other actors might've just mimicked Hannibal Lecter to portray John Doe . . . but the awesome performance in `Se7en' of the uncredited actor is actually better  and more unsettling  than Lecter himself.  The best performance of the film, however, may belong to Morgan Freeman as Somerset.  Freeman is perhaps the only person capable to tracking down John Doe, simply because he has seen so much sadness and horror before. Nothing Doe does, no matter how vile,  is able to derail the detective's efforts.  As Somerset, Freeman imbues the character with a certain tired, weary attitude . . . but still lying somewhere beneath that attitude is hope, and that small glimmer of hope, along with the wisdom of experience, is what prevents `Se7en' from spiraling into complete despair.   Somerset's hope, small as it is, becomes the audience's hope as well.With the possible exception of the very end of the film  for all its daring audacity, Fincher chooses to play it a little too safe at the film's conclusion   `Se7en' proves to be an uncompromising tour de force of modern horror.  If you're not easily bothered by graphic horror and gore, then go watch this film.  You certainly won't be disappointed.  Grade: A","
            10/10
            "
"MissCzarChasm","13 April 2001","Seven is by far one of the best serial killer movies ever made. This movie has a great premise, fantastic actors, great direction by David Fincher, and a fantastic gritty atmosphere.The story centers around 2 dectectives, both going down seperate paths. Det.omerset(Morgan Freeman) is heading toward retairment while Detective Mills(Brad Pitt)is just starting out his career. He's full of energy and opinions. Soon the both are on the msot disturbing case they have ever come across. A serial killer is killing his victims based on the seven deadly sins(Gluttony, Sloth, Wrath, Lust, Greed, Envy. The killer is very smart and the two detectives soon realize that he is using them as a pawn to complete his masterpiece.The acting in this film is amazing. Morgan Freeman turns in a great performance. very subtle, yet commanding. He's like a wise-man spreading his knowledge to others. Brad Pitt is also very good in a more energetic performance. His character is pretty unlikable but he does have a certain charm. Gwyneth Paltrow is a bit underused but she is still very good. She's one of the only bright spots in this othe wise dark film. The killer, who's identity i won't give away here is avery effective in his small amount of screen time. He gives a very creepy performance that will leave a lasting impression.Another thing this film has going for it is style. David Fincher has put together a film with a fascinating atmosphere. It's very dark and it sets th tone for the film.I suggest you go out and rent this film if you haven't seen it. Also for fans of the film the 2 disc dvd is a must have.","
            8/10
            "
"eclee-59960","28 January 2023","A well-made, interesting, good film. Unsettling when it's supposed to be, great acting, and an overall good mystery. However, the plot twist is extremely overhyped. Many describe this movie as having one of the best plot twists of all time, and while it may just be me, when I hear that, I assume it's going to be a satisfying twist. Having watched this film earlier today, I can say that I am disappointed. The most satisfying plot twists are the ones that the film builds up to for most of the movie, this one is only presented in the last 30 minutes. The twist is good, don't get me wrong, but I cannot say that I am completely satisfied. Se7en gets a seven.","
            7/10
            "
"Floated2","23 May 2019","Se7en is one of David Fincher's most known and praised work as a director. This film has seemingly been praised since it's release in 1995 and appears to hold up in today's day. The film is quite dark, violent and disturbing at times. The suspense is there but overall the end twist really isn't as creative as one was lead to believe.We can see as to why this film is as praised, as it does have an interesting feel and makes one feel like they're on the edge of their seats, but the end result isn't as great.Very good movie but it is quite overrated by the masses. Did not find the end twist as clever or creative as most are taking it.*SPOILERS* The setup deaths by John Doe were clever but once he eventually turns himself in to the detective at the station, it doesn't feel that clever or unpredictable. The ending was more so a ""shock value"" ending than a very ""clever/never before seen"" twist ending. Him claiming to have cut off the head of Brad Pitt's character's wife and have it packaged to them in a box wasn't clever, just more so shocking (And of course we actually don't see the head in the box as it is never shown).Overall, Se7en is worth the watch for the performances, the set up deaths and atmosphere as a whole but overall, the film isn't as great as wildly considered.","
            7/10
            "
"jcarlos-96740","5 March 2020","I don't really understand the hype over this movie, it has a good cast and it is a good movie but it's different to be good and to be one of the greatest and this movie has nothing that makes it one of the greatest. The only interesting thing here is that the killer uses the seven deadly sins but even this premise could've been better used, the plot twist is kinda shocking but isn't one of the best ones, ain't one of those jaw dropping ones, at least not for me. The actors did normal nothing especial here too. I love movies of this kind but I got bored watching this and is really nothing special about it, just a massive disappointment","
            6/10
            "
"epramatarov","25 June 2016","It was probably clever to make a film like this back in the 90s, but if this was released yesterday, nobody would rate it as high as they are. I saw this yesterday after hearing good things about it, and it did indeed live to my expectations, however I didn't think it was the greatest murder story nor the greatest film of the 90s.The first half of the movie was incredible. The second half of the movie was a bit of a let down. There wasn't much of a thought in the way they found the killer, it was rushed and a bit unrealistic. When the killer gave himself up later on, the movie was pretty much finished for me. I was expecting a good solution to a good crime, but no - a couple of hints left behind each murder scene didn't make this movie the greatest, as most people say.The end was both predictable and unpredictable - nobody knew what was going to happen, but we all had the idea of what might happen - and it did happen.Overall, a good watch - has its moments and I would definitely watch again because of how good the characters played their roles rather than the story.","
            6/10
            "
"ShyRaptor","26 May 2017","""Se7en"" (1995) is a true masterpiece. I have seen this film like a thousand times and every time I watch it again it's as disturbing as the first time. It's always intriguing from start till finish. This is one of the best stories ever told on screen. 10/10 for this motion picture, it's a true art. A must watch.","
            10/10
            "
"RickHarvey","14 November 2009","Thrillers are either a hit or a miss. They can be awesome while many can be awful. Seven is in the Very awesome category. Basing the film around the seven deadly sins is an concept that everyone can relate too. We have all sinned meaning we can be put ourselves in the shoes of the victims ( not all victims mind you ) . When you imagine a film in which it always cloudy and overcast with rain pouring down 24/7 , you would think it going to depress you . Truth is , you don't actually notice the weather , but instead take huge interest on what happening in the homes of the city.I'm not an huge fan of Brad Pitt but it seems that when he teams up with Fincher , he always puts on an good performance. Then there's Morgan Freeman, which is fairness, is playing Morgan Freeman. He fun to watch but you know what type of performance he going to act out. Both are very good but the one who steals it is Kevin Spacey. He may be in it for 20 minutes, but his role is extremely memorable. His character is well made and maybe deserves a bit more screen time . The film is very well made and an joy to watch. It keeps you awake and leaves you to wonder about the next deadly sin. When watching it, you can clearly see that Seven was an influence towards Leigh Whannell and James Wan and there SAW film. Everything about SEVEN was great, the concept, the acting, the finale. I highly recommend this film.","
            8/10
            "
"Hitchcoc","9 March 2010","I was totally taken with this film. It's not The Usual Suspects, but it is really something. Unfortunately, I felt almost sick when I was finished watching it. The madness of the murders and the general philosophical sickness that carries it along put it out of reach for some of us. I can't imagine the world portrayed here. Great cast. I really thing Brad Pitt is excellent; and, of course, Morgan Freeman is his usual complex self. Once again, however, in a relatively brief appearance, Kevin Spacey steals every scene he's in. It's that unflappable delivery of his. No matter what is said or done, he anticipates it. The murders are hideous. The camera doesn't show the most gory details (which I appreciated), but they are sold to us through outside factors. I missed this the first time through and wanted it to be part of my movie-going experience. I don't think I could ever watch it again.","
            8/10
            "
"BaronBl00d","2 March 2008","Incredibly gritty, very fluid, and most disturbing are all ways that one might describe David Fincher's Seven, a film, as all of these reviews on here will attest to, is about a serial killer-maniac killing people based on the seven deadly sins. There is little need to rehash the plot here then but what makes Seven such a good film and one of the best thrillers of the last few decades? 1). Two strong, key performances by Brad Pitt and, in particular, Morgan Freeman as New York police detectives just united as one, Pitt is coming, and the other is about to retire. Freeman and Pitt have some chemistry between them and let's face it - Freeman is just plain good at just about any role he assays. Add to this strong supporting work from Paltrow and R. Lee Ermey and especially Kevein Spacey as the killer. Spacey's voice and looks sent chills down my spine each time he was on screen. 2)David Fincher knows how to direct. This film is gross and really is selling a very seedy product as something more. Fincher makes that happen with the crisp dialog between Freeman and Pitt, the very low lighting effects throughout, the quick pacing of the film, and the depth of characterization that he allows his characters to have. 3) The story is well-conceived, well-written, and just crazy enough to be believable. The film has many scenes which are shocking and designed to be so - they succeed. But behind all that blood and seedy atmosphere lies a chess game between two police detectives - each good at what he does in a different manner - and one crazy but brilliant sociopath killer. The journey they take us on is one scary ride.","
            9/10
            "
"tedg","14 February 2001","Spoilers herein.What a great boon these DVDs are! -- where we get to view and review with comments from the creators.Sometimes the creative artist is a poor authority for the depth of their own art. So it is with some interest that I check if what I have seen was what the director thought he put there. Often, I find them simply working on intuition. But the better performing artists are different. They must always intend -- if they do not intend a specific feel or effect then it simply is not there. That's why when a DVD commentary involves an actor it is of particular interest.In this DVD, we hear Pitt, who really commits to delivering, who worries, who prepares, who sublimates self in order to create an image of himself in your mind. And we hear Freeman who is arrogant, demanding of you and not of him, offering a here-I-am take-it-or-leave-it style of acting, which he calls `intuitive.' This really explains a lot for me. It's why Freeman is a negative attractor for any film I consider, and Pitt the other way around.Either way, Spacey is the only one that connects with his character, and he's given a relatively simple job. I admit that this story moved well, engaging by shock and unexpected moves when I first saw it. But on repeated viewings, substantial sloppiness gets in the way. What remains is the very fine lighting. I think `Fight Club,' was much the superior film. This one hardly rates any celebration.","
            8/10
            "
"ccthemovieman-1","11 November 2006","I am shocked that I watch, much less own, this movie, and as often as I do. It's so dark, so uncomfortable to watch in many spots and so profane (although I use a TV Guardian) that it's not a very likable story and film.....but I find it fascinating. Let's continue on with the bad, and the good, of this film - at least from my vantage point.THE BAD - As a Christian, I get tired of seeing the villains, the sickest of serial killers, portrayed as Christians. It's unbelievable Hollywood bias that would never be tolerated if minorities were the constant victim of this kind of prejudice. In case, you don't get the message they even pass by a brightly-lit neon cross in the guy's room! That, and another cheap shot about a Southern Baptist being the killer, and comments about the sicko ""preaching a sermon"" plus Kevin Spacey's talks about people's sins....all are designed to portray a sick killer as a religious nutcase. Also, for further Liberal slants, good-guy Morgan Freeman is talking to Gywneth Paltrow at a neighborhood diner and he relates having talked an old girlfriend into having an abortion which Freeman says, ""to this day, I am positive it was the right move."" Yet, he also says it was a mistake and he regrets it. Huh?? Other negatives include too many f-words and usages of the Lord's name in vain, mos of them said by Brad Pitt. There are also several really, really downright gross scenes in here. If you don't expect them, you can easily be shocked with these disturbing images: some very sick pictures of tortured and mutilated bodies.THE GOOD - Despite all of the above, the story - as shocking and sordid as it is - is a fascinating one. It gets you so involved that it's almost impossible to put down, even with the unpleasant scenes. The finale is memorable, too. I also appreciated the wonderful cinematography in here. There are some strange colors in here but it all looks fantastic on the special-edition DVD. Spacey was relative unknown in his acting career at this time was riveting in that final 30 minutes when he had his speaking lines. All the actors in here are excellent. This is a film that is impossible to forget.OVERALL - As a friend once told me, ""This movie is very disturbing."" It's also extremely interesting, but beware it's not easy to watch.","
            8/10
            "
"The-Social-Introvert","21 January 2016","Often cited as the quintessential detective murder mystery movie, Se7en (remember when putting numbers in your titles was cool?) is the movie that put Fincher on the map at a time where he was known as the guy who ruined the Alien franchise. I must admit, I found the concept of a killer going around basing crimes off of the seven deadly sins to be better than it was actually executed in the film, but that doesn't take away from the fact that this smooth urban thriller remains one of the freakiest of its kind in Hollywood. The cinematography is immensely captivating, drawing you into this depressing and gloomy unnamed town in which our two cops Brad Pitt and Morgan Freeman track down the unhinged killer Kevin Spacey. The acting from the main duo is serviceable whilst Spacey is, as he always was in the 90's, exceptional. You have to give Fincher credit with his ballsy endings, even if it doesn't quite pay off all the way such as in Gone Girl and The Game. In this film, however, you're left thinking about the ending for quite some time, and it eventually dawns on you that, yes, the baddie won in this one. After a gripping climax out in a field in the middle of nowhere, the fiendish John Doe plays out all his cards after a half hour where we wonder just what the guy is up to when he gives himself up unexpectedly.Best Scene: There's a number of memorable instances (that bloody jump scare with the dude in the bed!) but my favourite part was when Spacey walks straight into the police station and hands himself to the officers.","
            10/10
            "
"area01","28 February 2003","With so many reviews on this great movie, I thought I would take a singular track, and examine one character of the film - John Doe.Kevin Spacey plays John Doe - the serial killer chased by the two detectives. There is a neat twist in the way John Doe is captured, but the real character development comes when he is taken to where ""two bodies are buried"" at the end of the movie. He requests that only the two detectives accompany him, and they question him during the car ride. This is a fantastic scene, where we are given the opportunity to listen to the reasons why the serial killer murdered his victims.The intriguing piece of this scene is that the film-makers make a sympathetic case for John Doe, and give Spacey the chance to show off his acting talent. To try and elicit a sympathetic audience response for Doe, after all the horror of the murders and the trawl through his dark alien world, is a tall order indeed. I feel that Spacey does a remarkably job of this, with understated acting and a spaced-out, slightly bored feel to the character - just right for a sociopath who feels he above the moral restrictions of the common man.The main thrust of the argument is that Sin has become so common-place that we have become numb to it, and indifferent to the every-day horrors that surround us. Doe has taken a stance and his murders will shock us and change this situation - we will puzzle over his seven murders, and look again at Sloth, Greed, Envy, Gluttony, Lust, Pride and Wrath. There is a religious under-current to the argument, but Doe accepts that he had carried out the murders, rather than hiding behind the explanation of a external dominant force. He also indicates that Mills (Brad Pitt's character) is very similar to himself, and might descend into murder if there were no rules or laws. Perhaps Mills is meant to represent ""everyman"", and that there is a tiny piece of Doe in all of us? In fact - this is the only time when Doe becomes animated - as if convincing Mills as to his logic is of importance and worth heated discussion.Of course, the problem with the above is that Doe uses the ultimate sin, murder, to punish lesser sins. So the argument really makes no sense - but the pacing, camera-work, dialogue and acting of the scene makes for a first-class piece of cinema. I suppose only someone who has the same physiological make-up that Doe has would agree that he is right. There is no reason given as to what made Doe the way he is - he is an almost blank character, showing little emotion or remorse for his murders.
This scene and character interaction is meant to make us consider the level of sin in our society - I think the prevalence of greed, envy, etc is out of control, but has become such a fabric of modern living that there is nothing we can do about it - apart from living your life to your own moral code.","
            9/10
            "
"neon47","11 May 2005","Se7en is great. Need I go on? Alright... Se7en starts off nicely making it look like another day at work. Well it is, but it's the beginning of something big. Not 5min into the movie and we're introduced to the first murder scene which is a obese man with his hands tied together under the table and his face smashed into a pile of noodles. He's obviously dead. The killer in this movie picks his victims according to the seven deadly sins, which if you don't know are: greed, gluttony, lust, pride, wrath, envy, and sloth. The killer is very original in the style he kills his victims, which are often times very gruesome. Although they don't really show any killings in here just the way they implied lust was enough to turn my stomach. The movie does a great job with its dark setting and bad neighborhood. Symbolic that this city sucks and is run down. The acting by Mordan Freeman and Brad Pitt is sensational, as well as Kevin Spacy's acting, whom I praise for his role. Overall this is one of the best movies I've ever seen, and the ending... oh buddy, the ending will getcha.","
            10/10
            "
"lastliberal","10 October 2008","There is no one who could argue against the fact that if you put Brad Pitt, Morgan Freeman, Gwyneth Paltrow, and Kevin Spacey together in a film, it is going to be a hit.I have watched countless hours of murder mysteries in movies and TV and have read innumerable books, and there is no finer murder/serial killer story than this one.It has every element that one would look for in this type of story and it delivers with a punch to the gut that is visceral and lasting.This is one of those films that you can watch countless times and never tire of.","
            9/10
            "
"FlashCallahan","24 December 2013","A deranged serial-killers twisted agenda involves choosing seven victims who represent egregious examples of each of the Seven Deadly Sins. He then views himself as the Sword of God, handing out horrific punishment to these sinners. Two cops, an experienced veteran of the streets who is about to retire and the ambitious young homicide detective hired to replace him, team up to capture the perpetrator of these gruesome killings. Unfortunately, they too become ensnared in his diabolical plan....If you haven't seen this film, stop reading and watch this masterpiece. But I don't know anyone who hasn't seen this, and as soon as you mention the film, everyone I know gives that look, because the first thing you remember the ending, and the subliminal image of Paltrow.Set in a nameless city, its and odd mixture of thriller, Gothic horror, and genuinely touching, funny moment, this is what makes the film unique.It doesn't prepare you for the conclusion of the film. Pitt is a happy man, new job, wife and a relatively stable home. Freeman though, is a troubled individual, having to have aids to help him sleep.But Fincher is a genius in the way that he ups the tension without the audience being aware. Every new murder is more disgusting than the the last, and the the line 'California, stay away from here, John Doe has the upper hand' tingles the spine, regardless of the amount of times you've seen it.It really is the epitome of, you can never see it in the same light as the first time you saw it.It really is that powerful.Brilliant stuff","
            10/10
            "
"tripwires","15 November 2001","(This review may contain spoilers)I'll just go right ahead and say this: Kevin Spacey is phenomenal. His portrayal of a serial killer is perhaps the best I've seen. He was only on screen towards the end of the film, but for me personally, he stole the movie. John Doe's eerily slow way of speaking (unless agitated) and his blank, vacant stare will more or less linger in the audience's minds for a while. I've not seen much of Spacey, only in this and ""L.A. Confidential"", which got me interested in him, but John Doe has made me a fan. He is amazing, and easily surpasses the two leads, Brad Pitt and Morgan Freeman.""Se7en"" is definitely one of the most intense, disgusting and intriguing thriller I've seen for a long time. Unlike recent thrillers (""The Bone Collector"" instantly springs to mind), it features a killer whose motive murder is believable and understandable, and not completely laughable like ""The Bone Collector"". He's a man who appears to be as ordinary as the next person, someone whom you wouldn't look at twice on the streets, but underneath that exterior lies a dark side. The film can be looked at an exploration of the darker side of the human mind (which is also what ""8MM"" did, and it should only make sense, as it is written by the same person), and John Doe is the right person to pick. Throughout history we have seen people like him, the most obvious being Jack the Ripper. For those who are interested, the character of John Doe is able to shed some light on the inner workings of some serial killers and their lines of thought. As twisted and sick as it may be, at least then one'd be able to understand.Morgan Freeman gave a good performance, but Brad Pitt annoyed me half the time. I liked him a whole lot better in ""12 Monkeys"" and ""Interview With the Vampire"". Gwyneth Paltrow...is not an actress I like. Hell, I'm being generous already calling her an actress. Since her character is crucial to the plot, I will just forget I've ever seen her in the movie.Andrew Kevin Smith is extremely creative, pure and simple. The victims of envy and wrath was just brilliant. I admire him a lot for being able to think of that; it was totally unexpected, and when John Doe utters ""become wrath"", I felt this intense chill which can only be interpreted as admiration for the writer on my part. The setting, music, lighting, and basically the entire atmosphere of the film fit the tone of the movie perfectly. Some scenes in ""Se7en"" made me sick to my stomach (rotting and talking corpses, anyone?), but in a movie that deals with a theme like that, those scenes become necessary.Definitely watch ""Se7en"", if it's only to witness Spacey's brilliant performance. An amazing thriller.","
            10/10
            "
"filipemanuelneto","11 July 2016","In this film, two detectives have to work together in order to catch a psychopathic killer obsessed with the Seven Sins. Directed by David Fincher, with a script by Andrew Kevin Walker, this film has Morgan Freeman and Brad Pitt as protagonists.This film approaches, several times, the grotesque. Its far from appealing to everyone but it will, almost certainly, please any fan of thrillers or police movies. The killer is a madman who seems obsessed with a naturally awkward topic: the Seven Deadly Sins, well known to anyone who has attended Sunday School. The film never speaks openly of religion, but we deduce that this crazy killer is probably Christian, which may displease the practitioners of that faith and even Catholics. In fact, religious fanaticism is quite implicit in the history, and the scenery. Like it or not, its an excellent idea for a movie and gave rise to a great plot, capable of holding the public until the end, despite several disgusting scenes, able to make any popcorn-eater throw in the bag. Yes, this is an alert for the teenagers and the faint hearted: this film is, indeed, visually shocking.The way the main characters were developed is very reasonable. They are two detectives, very different personally and professionally, almost the antithesis of each other until they need to form a true partnership. Brad Pitt gives life to a young cop, active, impulsive, passionate, naturally clashing against the thoughtful and prudent manners of the character played by Morgan Freeman, who only want to do the job well done and go home at the end of the day... until he understands (and he does it quickly) that this killer will not stop easily and is different from anything they thought before. The work of the actors is good, especially Freeman, who incorporate his character easily. Pitt also shone, but his character it's hard to like up to half of the film.The film is exceptionally heavy. The picture is dark, most of the scenes takes place in low light or at night (the most notable exception is the police station, plenty of bright and light colors). The crime scenes are usually dark and have black elements (in one of them is the furniture, for example). There are religious elements evident throughout the film also. The soundtrack is interesting, contributing decisively to densify the tension with the constant repetition of high and long chords.In short, this movie is deep, psychologically challenging, shocking and promises to leave no one indifferent. A great story of suspense, from start to finish.","
            10/10
            "
"anthonymichaelbangert","17 August 2015","In one of the most excellent thrillers ever created, Morgan Freeman and Brad Pitt can be seen. Morgan Freeman plays an old wizened detective on his last week of duty before retirement. Alongside him comes Brad Pitt, as a young detective new to the precinct, eager to take his place. That's when the murders start to appear, starting with a fat man dead face first in a plate of spaghetti. From there, the bodies start to appear, with the theme of the Bible's Seven Deadly Sins. Each body is killed by their sin, and the detectives have to race to find this John Doe as he continues to tease them. This movie takes you on a ride, and gives plenty of clues along the way, but you never seem to know more than the protagonists do. The characters are written well, they develop over the story, and no one ends where they started. Kevin Spacey as John Doe was a brilliant casting choice, as he played the character with such conviction that any viewer would believe the actor actually believed in what his character did throughout the film. The team of Brad Pitt's young gun and Morgan Freeman's wise old man played excellently off of each other as well. A finely told narrative, this thriller will keep you on the edge of your seat wondering what will happen next. This is a must see.10/10","
            9/10
            "
"lesleyharris30","15 July 2016","Se7en is an amazing movie with an incredibly well developed plot and a stunning cast. It had me glued to the screen for the entire run time, as we follow two detectives struggling to catch a serial killer who has been murdering people as a representation of the seven deadly sins, the images this killer makes the bodies in to are literally some of the most brutal things I have witnessed on film. David Fincher and writer Andrew Kevin Walker did a stellar job developing detectives Somerset and Mills, who Morgan Freeman and Brad Pitt bring to life flawlessly, their relationship is a complicated one that becomes more layered as the film continues. However, the highlight was Kevin Spacey, who steals the show as the man we were waiting to see from the very beginning, and is not one bit disappointing, he is sinister, absurd and a straight up creep, he chilled me to the core, I do not think any other actor could have portrayed this psychopath better. Thrilling, engaging and incredibly well acted, I can not find a single flaw in Se7en, highly recommend to anyone looking for a good mystery or thriller. Two detectives search for a serial killer who plans on taking seven victims as a way of exposing the deadly sins. Best Performance: Kevin Spacey","
            9/10
            "
"travola-35109","13 August 2022","Seven is the first time we ever really experienced Fincher (Alien 3 doesn't count!!). Great performances by a young Brad Pitt and the always reliable Morgan Freeman. Freeman is the highlight here and he should have gotten some awards consideration for Seven.Fantastic look and thriller story and one of the most talked about ending a of all time!! Highly recommend and watch at night to increase the the feel.","
            7/10
            "
"uds3","13 December 2004","There is no doubt ""Seven"" is a superior film in every way, so far as crime dramas/psychological dramas go, Fincher is indeed a visionary director. This film however has achieved an unrealistic and totally unsupportable ""aura"" of brilliance that is simply unjustified. Having seen it now five times, the latest last night after my son bought it for my birthday, I have to declare it to be as boring and pretentious as the first night I saw it.Without anything but praise for everyone's performance (Spacey, especially) I still have nothing but blank indifference to every character presented here. What in Zeus' butthole was the point of the film? Any half competent lawyer would have gotten Pitt a suspended sentence (justifiable homicide...temporary insanity..whatever) Who cares what the hell Freeman decided to do...hang around a few more years, go shoot a few chickens? As for Ms Paltrow - the most boring and one-dimensional actress yet paraded on the silver screen (though Nicole Kidman isn't far behind)...HER fate was the highlight of the movie.Shamelessly exploitive crap though it was, I found RESURRECTION (A ""Seven"" clone) way more interesting and given that starred Mr ""Wooden"" himself (Christopher Lambert)....maybe I need therapy.Quite frankly for all its social comment, upmarket direction, cinematography and set-design, I think ""Seven"" is a modern ""Kings New Clothes."" Great film....shame about the entertainment factor. ANY film that feels like you've just donated four hours of your life has at its core, a problem.As for those who even MENTION this in the same breath as SILENCE OF THE LAMBS - you HAVE to be kidding! That sequence between Hannibal and Starling during their first meeting alone, blows everything this film has to offer out the window.","
            8/10
            "
"DavidYZ","20 April 2017","This is an excellent serial killer thriller. Morgan Freeman and Brad Pitt play police detectives who together are tracking a serial killer who kills people who have each committed one of the seven deadly sins in a way that's relevant to the specific sin. Kevin Spacey plays the killer.","
            7/10
            "
"steiner-sam","20 September 2023","It's a psychological crime drama set in the 1990s in a large American city. It follows two detectives tracking a serial killer basing his murders on the Seven Deadly Sins.William Somerset (Morgan Freeman) is an older, unmarried African-American homicide detective one week from retirement. He is thoughtful and highly educated, with a clear religious base. His replacement and partner for a week of overlap is David Mills (Brad Pitt). Mills is a young, impulsive high school graduate with limited literary interests. He and his wife, Tracy (Gwyneth Paltrow), have just moved to the city from ""upstate,"" where Mills previously served as a detective. Tracy is less than enthusiastic about the move.Somerset's and Mills' first case is a bound, obese man found at his kitchen table. Then, a prominent lawyer lawyer dies. At the crime scenes are the words ""gluttony"" and ""greed."" The two detectives realize they're pursuing a serial killer and, at one point, almost catch him. Later, the highly literary John Doe (Kevin Spacey) reveals himself and offers to lead the detectives to two more bodies. There is a horrendous ending.""Se7en"" sifts through the life views of both Somerset and Mills and their struggle to analyze the killer's motivations. Freeman and Pitt pull wonderful characters from an excellent script. Though there is one memorable chase scene, their dialogue is much more important than the action. Paltrow and Spacey are good in their more limited roles. The cinematography includes much rain and dark, grimy interiors, making this outstanding neo-noir. The ending is twisted and unforgettable, reminding one of ""Silence of the Lambs."" The display of the murders is horrific but not overly gory. ""Se7en"" is not a formulaic mystery.","
            7/10
            "
