"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"Funkaairo","16 February 2023","Cohle and Hart play off eachother so amazingly well, and I was stunned by the constant wisdom on humanoids thrown out by Cohle constantly in the first episodes. I've never felt such a deep connection to a characters' thoughts ever and was taken aback by how deeply I could resonate to these thoughts on humanoids.These constant spurts of wisdom sold me on S1 from the first episode. It was amazingly depicted and I had to calm down through the dialogue and replay some bits because there was just so much stuff being said which required processing. I'll return to S1 in a couple of years to understand the wisdom bits deeper, and enjoy this masterfully created piece again.There was not a single dull moment in this series, despite being a slow-burner if that's what you want to call it. I'd say it's similar to mindhunter S1 but they're not really comparable in that way. You'll understand once you see it.Hart and Cohle played their characters ridiculously well and built this incredible depth to their stories and personalities that I have never seen before in TV. It made the series feel extremely mature in a sense that only people with proper understanding of their own emotions could understand the thought processes depicted in the series. Maggie was such a perfect character to make sure these thought processes were fished out. Amazing performance! I really have nothing but praise for S1.Just like Maggie said, Hart did not know what he wanted, and Cohle knew what he wanted. It is such a small line but it says so incredibly much. This world is divided like this and you can see it in all adults of all ages. Some people know who they are and therefore content with themselves, with integrity (just like Cohle) and some people are figuring things out at their own pace, but never really reaching the destination in terms of self actualization (Hart). Maggie was much more similar to Cohle and it was depicted masterfully.Either way I'm just going off on nothing here. Best Series I've watched and I feel like I evolved as a person after S1. Thank you!I'm not mentioning S2 and S3 and will not watch them as other reviews have made it clear I shouldn't. Haha.","
            10/10
            "
"redroominparis","14 January 2019","Slow paced but well acted, True Detective season 3 returns to its roots. Incorporating a plot point touched on in season 1, the series becomes familiar in its surroundings as two back country detectives attempt to locate missing children in a town where truth lies below the surface. The Cinematography and Score are fantastic, making for and eagerly anticipated re-do that erases the inadequacy of season 2.","
            8/10
            "
"bsamad-50088","22 November 2019","I only rated 9 because i didn't like season 2 that much , but season 1 and 3 are just a masterpieces !! Specially the acting of Matthew and Ali , the story and the script , the atmosphere they created in this show is attractive ,i fell in love with the show , one of the best i ever seen","
            9/10
            "
"sammybeno","23 January 2021","Season 1 of True Detective may be the best television I've ever seen. Its written brilliantly and has some of the best performances I've ever witnessed with Woody and Matthew. They were robbed by not winning an Emmy or Golden Globe.","
            10/10
            "
"mlynch5187","15 October 2015","Last spring (2014) while surfing IMDb for a new show to watch I came across True Detective, a show that had received rave reviews across the board. I'm not a particular fan of crime mysteries, but I figured I'd give the show a shot. After all, IMDb ratings had been pretty reliable in giving me an idea of good a show would be. I thoroughly enjoyed Season 1. In fact, I'd say it's one of the best pieces of television I've ever seen. Yes, one of those rare masterpieces that stick out from the usual assembly of cheesy sitcoms and thrillers.Season 1 verdict: If I had to give only season 1 a rating, I would give it a 9/10 with no hesitation, and possibly even a 10/10. The show was everything I had hoped for and more.Needless to say, I was excited for season 2. I waited for the entire show to air so that I could binge watch it without having to wait a week between episodes. I eagerly turned on the first episode of season 2, but as the episode dragged on it became apparent that this episode was a real let down. It was a series of of plots that all seemed to have no relation to each other. It was hard to even follow what was going on. ""Hey, that's okay"" I said to myself. I figured it was just a necessary lackluster episode that would set the stage for all of the glory of True Detective that I knew and loved. Instead, I continued to be disappointed by episode after episode. Sadly, it became very clear that Season 2 sucks. I don't use that word too often, unless it's warranted, but in this case it surely is. During the middle of episode 4 of Season 2 I just turned it off. It was so poor that I couldn't even watch it anymore. I came back the next morning hoping to try again and got the same result. Season 2 is basically unwatchable.Most of Season 2 involves a few seriously depressed brooding alcoholics staring at each other with sad serious faces uttering dark cheesy lines like ""Those moments, they stare back at you, you don't remember them, they remember you"". I mean, come on, really? The whole thing is just cheesy and I lost all interest in the problems of these people. I want to give Vince Vaughn some credit here, because he did some fantastic acting, but that couldn't come close to redeeming this season.Season 2 verdict: Don't even bother with season 2 unless you like being disappointed. It sucks, plain and simple.","
            7/10
            "
"ladnerlowery","30 March 2021","I watched season 1 again last week and I am still in awe of every element of this masterpiece. The pace, the acting, everything is so perfect it is mindblowing. I remember the excitement of waiting for season 2, which evaporated after episode 1. Vince Vaughan seems to always carry the can for this seasons issues but they were far larger than one man. I was astounded how bad the second was to the first. The third season, I watched it, I can't remember it. Other than to say it was better than the stinker in the middle.","
            10/10
            "
"prabhat_kataria","13 January 2014","When i first heard about the show , i thought to myself that with a premise and cast like that , what could go wrong with this show? Well there could have been a lot of things. For example the plot may have been overdone or under thought , direction may have been all over the place , but the first episode proved that it was not to be so.The plot looks delicious...yes it does and the neat direction just purely compliments the smooth design of the show. Even though story telling is non linear at times , but it has been managed very well with subtle dialogue and the growing suspense. It does get dark at times but handles all its complications with ease.The casting is clever...very clever. Both Matthew McConaughey and Woody Harrelson are brilliant actors and at the same time have a certain mystery about them that is Perfect for the show. They have a firm grip of their respective characters and seem dissolved in them.This show is NOT just a regular cop drama or a clichéd murder mystery. It is much much more and has already proved so in the first episode. Much is expected from it and the future looks bright for True Detective.UPDATE ( Episode 2-6 ) - Now 6 episodes have gone by and i believe my views have changed a little. The richness of the show in the first couple of episodes completely PALES in comparison to the speed, smoothness and uniqueness in the latter episodes. From the 4th episode is when the show actually picked even more momentum and proved its worth as possibly the greatest thing on television at the moment. McConaughey is truly having the golden period of his career. The future (probable) Academy Award winner (For DBC) is at his freaking best as Rust Cohle. Harrelson is brilliant as the angry and flawed Marty Hart. I liked this show. But now i am addicted to it.With 2 more episodes of the season to go , one can only expect the best from this fast-paced , beautifully crafted show.So far, an obvious 10/10.Final update: ( Episode 7 & 8 )-- Well the series ended last night on a very thoughtful note. Up until the 7th episode, the show had picked up so much speed and given us so much to think about that i was expecting a little too much from the last couple of episodes. Who wasn't.*********** If you haven't seen the series , please Don't read on*********The 7th episode was truly amazing as it set the stage for Rust and Marty's final adventure of the series. There was too much anticipation for the final episode, but did it deliver. Yes and No, depending entirely on how you look at it. There were no unusual shocking twists and there were no unrealistic happenings. It was quiet a daring and a brilliant end to a show that explored beyond any other show's reach. But to be very honest, as a single episode , the finale wont stand out. But as an entire series , i believe we have been treated to one of the best television series ever made. The writing and direction have been top notch. Acting has been flawless. Am gonna miss it.10/10","
            10/10
            "
"TomatoesareRotten","21 February 2024","It's done exactly what the second calamitous series did to the original premise , ruined the whole stock it had re garnered in series 3 ! One step forward two steps back ? The first two episodes set out on a fixed trajectory ( with some arbitrary and random family nonsense for good measure and NO it didn't help with character development ) but then went off ( no pun intended ) on several different paths, one of which was the utterly pointless inclusion of Christopher Eccleston and THAT side story. These deviations only contributed confusion and frustration for the viewer as the main story was, by now, being diluted to the point of insignificance ?! The last episode was some of the poorest storytelling and dialogue I've ever witnessed and it had Jodie Foster contributing her fair share of the nonsense unfolding. Breathtakingly bad, it even made Alaska look terrible and that's quite a feat.","
            2/10
            "
"amappou-565-320033","25 April 2020","Season 1 True Detective, different actors, different story, different class....absolutely amazing.....the following seasons average in comparison.","
            9/10
            "
"paiello-44319","21 February 2024","A lot of thoughts, and most of them not good regarding this series of six episodes. The acting was fine, Jody Foster is always fantastic and so was the actress that played Navarro. It was very cliché and that includes the characters and the plot. Seems like they were using the momentum from the previous seasons, which were highly acclaimed. One of those series you kept saying, who is this person again? Or what was the plot again? Most of the violence and murders coming from the good guys, senseless, revenge killings. There were some nonsensical moments as well. People falling through ice after we see Alaska in total darkness with frigid freezing, cold temperatures - the ice would definitely be several feet thick. Anyway there were some threads of high quality acting, but I gave this a score of six and that was generous.My suggestion? Skip season four of the series. I think season one is still regarded as the best. If you want to watch a series that's in the same genre. Watch Fargo season five. Really good stuff.","
            6/10
            "
"tomhg38","13 January 2014","This is a show which almost bathes in success before it's begun. With it's cast and their pedigree of work i cant see many people interested in this type of television not seeing it.Regardless the pilot grips you with non-linear suspense driven story telling. Vaguely some kind of serial killer murders young women in a ritualistic manner and our 2 protagonists catch the case. What follows is a tantalising taste of what I'm sure will become one of the most well wrought shows of the year, as is the norm for HBO. Teased with mystery and the promise of a story worth hearing being told in a superb manner, Its hard not to fully recommend every mature adult checking this show out.The only demographic that wont be thoroughly satisfied with this work are people looking for lighter ""easy watching"" style programs. This isn't an episodic cop show, True Detective is dark and unapologetically twisted.","
            2/10
            "
"MK_Ultra_","30 January 2024","Being a fan of the first season, skipping the second after 2 episodes in (lousy season), and lukewarm on season 3 (was okay), I'm at the point where ""can millions of people be wrong?""Probably not, but just throwing that out there.Season 4, so far, through 3 episodes---for me---is a criminally overrated slog. Who is the protagonist? Why should we care about all the unknown ""soap opera-esque"" hangups between the characters as they develop? There is the element of being derivative hanging over this (hello, John Carpenter), but the element of tribal spiritualism and some inklings of supernatural elements weigh it down as much as they are possibly keeping this series afloat. Talking put of both sides of my mouth, but the trappings of a less than suitable tying up of loose ends is running out of time and space.It's goofy at times (the few scenes with CGI are laughably bad in 2023-2024), it's boring most of the time...but the ending of the episodes bring in the element of the next episode will reveal more, but after three episodes of that same approach, I feel a further letdown on the horizon.It's kind of a mess, bottom line, and the scatterbrained script is really getting hard to watch as it unfolds in slow motion.With that said, this is the halfway point I do believe. Episode 3 out of 6 and just waiting for something to happen.Tempering expectations because a lot of the legitimate nationally publicated reviewers that I normally trust seem to go cuckoo for cocoapuffs over their reviewable full season preview that got me back onboard, but subjective as it can be---and even some calling this more of a ""horror"" themed season, it's falling completely flat other than a few disturbing scenes and the element of what is yet to be revealed.Edited for end of season assessment after watching finale:Absolutely a mess. They ran out of budget or couldn't find an editor to come in and clear.said mess. This is and was a complete disaster of a season, and starting to wonder about the promotional material they ran about the time of the Superbowl, where they folled.the screen with review quote snippets, if those were for all of the MAX content or this series, because a little slight of hand marketing wise might have been in play to sell this crap to the masses.This one's a hard pass.","
            4/10
            "
"210west","23 February 2024","Yes, the legendary Season One of ""True Detective"" was guilty as charged, especially in the feminist playbook, for all sorts of illicit macho fun. As some hostile critics pointed out, that opening season really did exploit women; all the women in it (except maybe Ann Dowd) were young and gorgeous and of easy virtue.This time out, the women are anything but gorgeous, to say the least, and they're tougher than the men. In the opening episode, the hulking, tattooed, perpetually aggrieved trooper played by Kali Reis easily trips and cuffs a struggling man bigger than herself, and even manages to answer her cell phone while doing so. It's the sort of familiar Hollywood fantasy -- woman beats up stronger guy -- that Emily Blunt once described, correctly, as ""cheesy.""Familiar, too, is the bleak arctic landscape. Season Four recycles elements from ""30 Days of Night,"" ""Fortitude"" (a weirder, woefully unknown series from 2018), ""Smilla's Sense of Snow,"" the Icelandic series ""Trapped,"" and all three versions of ""The Thing"" -- only this time out the story is heavier-handed, slower-moving, and not half as much fun.The first season of ""True Detective"" moved slowly, too, but the fantastic acting of the two leads made every one of its eight hours a pleasure. Season Four runs just six hours long, but the hours just drag by. And the resolution is so ridiculously unsatisfying that you'll regret having wasted those six hours.In fact, I attribute the warm critical reception ""Night Country"" enjoyed to three things: (1) the fact that it checks all the right woke boxes; (2) the residue of good feeling we have, after ""The Silence of the Lambs,"" for Jodie Foster in another crimefighting role; and (3) the probability that the early critics reviewed it without having viewed the weak, disappointing conclusion.Season One was also, at times, quite funny, thanks to Woody Harrelson. This fourth season is totally humorless. (To be fair, there was a Netflix quip and one about ""Mrs. Robinson"" that brought a smile.)Where Season One gave us nice atmospheric Southern blues, this season gives us tinny, jarring, annoyingly intrusive radio rock.Even the details seem recycled. That clue we keep seeing, the mysterious spiral tattoo (a nod to Season One), feels like something out of the Hardy Boys. The conflict of whether the local police will be granted time to solve the crime, before higher authorities from outside take over, is the tritest of clichés. (Why should we care whether Jodie Foster loses control of the case to ""Anchorage""?) The dialogue is clumsy with exposition, a frequent problem with TV. The special effects -- the frozen corpses -- are so amateurish that I found myself looking away.Which also goes for the sex. The sex scenes in both Season One and Season Four are embarrassingly gratuitous, but in Season One they were...sexy! Here, you just avert your eyes and wish they'd been deleted.","
            2/10
            "
"mathomas-28053","2 February 2024","Season 4 (Night Country)
There are many positive reviews for Jody Foster's ""Night Country."" I cannot imagine we are watching the same thing. I have recently watched the first three seasons of True Detective, and found them all to be very good or excellent. The mysteries were good and complicated. The acting and direction were good. The screenplays were excellent, full of wit, innuendo, plot revealed piece by piece, some wonderful lines of dialogue. Even the minor characters were interested and well-acted.This fourth season is NONE OF THOSE THINGS. Nothing about the plot is interesting. None of the characters is interesting. There has not been one witty or memorable line of dialog. I can barely drag myself to watch the next episode. Extremely disappointing.Obviously, this could be a gender difference. The first three seasons were written by guys, about guys, and I am a guy. This fourth season is written by a woman, and stars female detectives. But I have seen PLENTY of excellent detective shows written by and starring women (mostly European) and loved them. So I don't think it's that.I don't know what you people are watching who are giving this fourth season high ratings. I'd rather watch a single episode of ""Law and Order"" than suffer through this Alaskan nightmare. Also, I don't approve of bringing supernatural stuff into a detective show, if that's what this is going to turn out to be. Murder is not done by ghosts and spirits, it is done by murderers. I honestly believe these high ratings have been bought and paid for.","
            6/10
            "
"arcweldx","5 February 2024","Nic Pizzolatto, creator and writer of the magnificent first season of True Detective, had nothing to do with Season 4. At this point, the series has become a sad exercise in branding.Season 4 is set in small-town Alaska with a cast of sad-sack characters leading lives of quiet desperation under the long Arctic night when a horrific, possibly supernatural mass murder takes place. In the hands of a talented writer, that's a terrific set-up. Unfortunately the writing is dull and unimaginative. The characters are two dimensional, unlikeable, their personal problems uninteresting, stumbling from one cliche to the next. Four episodes into Season 4, the story seems barely interested in the crime as much as these dull characters. It even seems barely interested in the Arctic setting which so lends itself to horror (see Fortitude or The Head for how to do this well). The portrayal of native Alaskans, another potentially interesting part of the setting, is trite and one-dimensional (dignified spiritual warriors who know so much the clueless white folk don't...).Is it right to dismiss a series based only on four episodes? It's not the destination, it's the journey. When the journey thus far is so uninspired, the ending is beside the point.If you loved True Detective Season 1, and kept the hope alive through subsequent disappointing seasons that the original magic might return... Season 4 should be the final clue that it's time to let it go.","
            10/10
            "
"ericnottelling","13 January 2014","Wow. That is seriously all I can say after watching the first episode. The episode is amazing. Will definitely be tuning in again and so will you. Woody Harrelson and Matthew McConaughey do a great job. The script is very well written and drives the story hard. This show is all about the story. It has the feel of a mini series not a TV show so it will be interesting to see where it goes. But it is one powerful script that is acted out great. This is the first 10/10 I think I have given on IMDb. Once you watch it you will know why. I will be shocked it this show does not win awards. It may be the best show on HBO now and I would say it's up there with orphan black with it's ability to grab your attention and keep you glued.","
            10/10
            "
"SnoopyStyle","25 May 2016","This is an anthology TV series created by Nic Pizzolatto.Season 1. In 1995 Louisiana, detectives Marty Hart (Woody Harrelson) and Rust Cohle (Matthew McConaughey) investigate a murder. Seventeen years later, they are interviewed after another murder of the same nature despite their claim that they apprehended the killer back in 1995. Director Cary Fukunaga brings a cinematic vision above almost anything on TV. McConaughey was in the midst of his McConausance. His pairing with Harrelson is perfect. It's different and a must-see. It's exciting to see what this duo would do every week.Season 2. In the town of Vinci, California, city manager Ben Caspere is killed. Vinci Police detective Ray Velcoro (Colin Farrell), CPH officer Paul Woodrugh (Taylor Kitsch), and Ventura County detective Ani Bezzerides (Rachel McAdams) all claim the case. Criminal Frank Semyon (Vince Vaughn) had invested in a project with Caspere but his money is missing. The story is a little bit of a mess. That's not to say the first season is a paragon of logic and easy storytelling. However, Fukunaga seems to be able to cover it up with his style. The visual style has regressed back to more like high quality TV. The new cast tries their best. Kitsch's story is probably the least compelling. McAdams and Farrell could be a solid lower level replacement of the McConaughey-Harrelson. Nothing could really replace that magical lightning strike. I am still not sold completely with Vaughn. It's some of his best work but I can imagine plenty of character actors who could do a superior job. There are some really interesting sections even though the story doesn't always hold together. This is a good try and not the disaster that some may claim.Season 3. It's 1980 West Finger, Arkansas. Tom (Scoot McNairy) is beside himself when his two kids go missing. Wayne Hays (Mahershala Ali) and Roland West (Stephen Dorff) are state police detectives in charge of the search. Hays finds the body of the boy but the girl remains missing. Ten years later, Hays is brought back in to be interrogated about the case. It's revealed that the girl's fingerprints have been found at a robbery and she's presumed to be still alive. This is a bounce back year for the show. It's mostly due to Mahershala Ali. He is the sun, the stars, and the moon. I'm less impressed with the timeline jumping around during the season. I wonder if after the first episode with the fingerprints reveal, the show should switch back to a straight forward timeline story telling. Also, the mystery of the missing girl is not always the most compelling. After hearing about the pink room, it's a simple matter of waiting for them to find the room.","
            7/10
            "
"Xenophorm12","11 May 2021","S1: 10/10 easily, best first season of any series, period!S2: 7/10, plot was too confusing and I couldn't even remember anyone's name even after finishing the season.S3: 8/10, they tried to imitate S1, although they weren't quite successful at least it was better than S2.","
            8/10
            "
"Silicone54","13 February 2024","First 15 minutes of episode 1 was pretty good and Jodie Foster is the lead? Yeah lets go!!! Well they went every which way with the entire story and even characters are all doing their own thing. Almost feels like they used different writers to handle each characters' plotlines and no one bothered to check if any of it makes sense.I watched every week and I cannot remember any names including the leads. Impossible to follow the story as they jump from major plot lines to another without any relevance to each other or continuity. I may just stop and wait until the season is complete so I can binge it. Perhaps watching episodes back to back will make it sink in. I love the True Detective series up until this one.I give season 4 a 2-star because of Jodie Foster but honestly she's not convincing at all in her role.","
            2/10
            "
"shanghaihorvath","7 August 2020","The first season is an amazing","
            10/10
            "
"bobzmcishl","27 February 2019","I intensely dislike series that tidy up all the loose ends of a mystery in the last 30 minutes of a series that lasted 8+ hours and that had little to do with almost all of episodes leading up to the grand finale. In most mysteries the cast of characters are identified early on in the series so we the audience can wonder about their guilt or innocence. No such luck here. We are left instead with a drama involving a troubled relationship between one of the lead detectives and his wife which dragged on too long and involved way too many flashbacks which often left the viewer mystified about the timeline of events taking place.","
            6/10
            "
"TheFarscapeProject747","14 January 2014","I don't know why but I can't enter my how many stars review, so I'll just write it here as 10From the opening credits, which seemed like a combo of the credits of 'Six Feet Under"" and ""The Killing"" with a little James Bond"" look all with this ominous song, to the end I think this is going to be something great. It will not be for everyone, I already have seen reviews of people hating on it for not having action and being slow, well this show like many others is going to be a ""Slow Boil"" type of show. For those of you who don't know this story arc and actors/characters will not be continuing after this season, i just read that it will be a total of 8 epiodes with a solid conclusion and than will move on to another story in season 2 making it an anthology season series like American Horror Story. I'm really glad another show has decided to do that format and hope that there will be others in the future","
            9/10
            "
"Sam56800","20 January 2024","The first season is incredible. Was never a fan of Breaking Bad or GoT, but this is so well-made and probably the best TV drama I've seen. Everything comes together perfectly. The pacing, casting, writing, directing, themes, music, tone, cinematography, subject matter.... everything. If you're into true crime, this show is great. It's the most realistic, gritty, dark, interesting investigative/crime film I've personally seen. It's just too bad that subsequent seasons are absolute garbage. Season 4 was abysmal - couldn't get past the first ten minutes. The writing, acting, and everything felt so stiff, scripted, and just unnatural. The subject matter appears to not be based on anything real-world, and has more of a supernatural element, which completely is not in line with the True Detective name. There's a really generic feel to how it's made, like a B-movie or something. It really does feel like they made a supernatural thriller and slapped the True Detective name on it. In their defense, the bar was set so high for S1 that it was pretty much impossible to really top, so it kind of makes sense that the only way to go was down.","
            10/10
            "
"lee_eisenberg","9 December 2018","In the past twenty years, HBO has turned out some of the most impressive shows: The Sopranos, Six Feet Under, Game of Thrones, etc. Another is Nic Pizzolatto's ""True Detective"". Each season has a different plot, always focusing on detectives investigating a case and having to sort through all manner of sleazy elements. This is not like any cop show that you've ever seen. Definitely see it.","
            9/10
            "
