"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"jon-larsen","14 March 2010","When I heard about this movie for the first time, I thought it was just a forgettable and funny movie. But I was wrong. I saw this movie last Christmas and I did not find it funny, but I loved it, though! Everything is so great in this movie. The story is amazing. The characters are great, and the character's development is fantastic! the cinematography is grea, and the acting is fantastic. James Stewart was mind blowing. The whole movie is amazing,touching and encouraging. You cannot describe how good this movie is. Nor can you describe how good the message is.This is the best feel-good movie ever. It's a life changing movie, actually. It makes you feel good to be alive. Do me a favor and watch this movie as soon as possible! When you're sad, think about the message this movie delivers, because you will get a smile on your face! I'm 14 years old. My English is not very good, but I hope this review was useful!","
            10/10
            "
"MovieAddict2016","29 October 2003","Review edited and therefore quite choppy due to maximum word limit.   Has there ever been a truer and more heartfelt character than George  Bailey? This is a man whose life is one of great significance, but he,  like all of us, does not always realize that this is so. He does not  recognize his impact on the world until an angel erases his existence  like chalk on a board. It is then that he is hit by the fact that one  man's failing life isn't always as inconsequential as it may seem.  We all remember when Clarence (Henry Travers) first appears on that  snowy bridge and saves George Bailey (James Stewart) from committing  suicide. He explains nonchalantly that he is an angel and George is  incredulous--until Clarence wipes away his entire past. His mother  doesn't recognize him. George tells her about his uncle as a source of  belief. She states that his uncle has been dead for some time, now.  The best scene in the entire film is that following when George is  thrown out by his mother. He runs towards the camera in an intense wide  shot, his face registering emotions of fear, horror, and ultimately the  horrid understanding of what has happened. This role is the highlight  of James Stewart's career--he never came anywhere close to the superb  performance he gives in this movie. There is a reason it was his  favorite film he ever starred in.  Stewart's portrayal of George Bailey is the grown image of all of us:  As a child he dreamed of nothing but exotic locations and adventurous  travels to foreign lands. But now he is a family man, a father and a  husband. He has left behind his silly bachelor notions, but they still  come back to haunt him. Bailey owns the town savings and loan, left to  him by his father. The cranky Mr. Potter (Lionel Barrymore) wants  complete monopoly over the town, and all that stands in his way is  Bailey and his little bank. But Bailey, an inner disgust and hatred  towards Potter brewing since his childhood days, refuses to cave in and  give it all away.  Then one day, George's absentminded and quite eccentric uncle (Thomas  Mitchell), misplaces a large sum of money, leaving George hopeless and  Potter with a serious advantage. After blowing up at his wife (Donna  Reed) and kids at home, George gets drunk at a local bar, is scorned at  by a schoolteacher's wife, and left dazed and confused, walking through  the snowy town at night during the happy Christmas season without a  hope in the world. Battered and delirious, thinking back over his  apparently pointless and wasted life, he contemplates suicide. He prays  to God and wishes that he had never existed. Which is why Clarence  comes down from heaven to sort things out and answer his prayer.  Essentially bombing at the box office when it was first released, and  then proceeding to fall into copyright problems for years, ""It's a  Wonderful Life"" resurfaced only years later when it was brought back  into the public domain circa 1970. When other channels were airing  expensive Hollywood movies during the Christmas season, PBS picked up  the film and played it as a counter attack, a weak hope prevailing in  them that the classic film buffs out there would tune in. They did. And  so did families across the nation. Every year the ratings got stronger  and stronger and now, almost sixty years following the movie's initial  release, it is considered a holiday tradition.  George considers suicide as a way of escaping his problems without  really thinking over the possible outcomes given his final choice. He  looks back upon his life as wasted potential; he wanted to become an  adventurer, break his family's small-town tradition and become  something huge. Mentally scanning his life to the point in time when he  stands on that bridge, George Bailey believes that he has simply and  truly created a waste of space. He's ready to end his (assumed)  pointless life when his entire point of view is wholly altered by the  power of God. George suddenly realizes that though he never lived out  his boyhood fantasies, he did so much more than he ever dreamed of. He  saved his brother's life, which resulted in a huge impact in later  years; he made an influence in the lives of others and brought peace  and harmony to an otherwise small town by prevailing at the requests of  Mr. Potter; he married a beautiful wife and had children, all of whom  will no doubt have some measure of significance later in the world. And  his wish on that bridge was that he had never been born.  Often I am asked to name my favorite movie, and though I ignore  requests and state that I have not seen every existing movie and  therefore my judgment carries no significance, I have the lightest  whimsy that ""It's a Wonderful Life"" may be my favorite motion picture  to date. I cherish few other films just as close, but to me, ""It's a  Wonderful Life"" is more moving than ""Casablanca,"" a better study of one  man's life than ""Citizen Kane,"" and a movie that will live on in the  hearts and memory of viewers long after we are gone. I believe that  this is the definitive Americana motion picture, regardless of how I  compare it to my other favorites, which may carry the same weight but  not the same true significance. Few films come as close to the heart as  ""It's a Wonderful Life."" And few films come as close to ""It's a  Wonderful Life"" at all, for that matter.  5/5.","
            10/10
            "
"classicsoncall","18 December 2010","If there's one movie I probably haven't watched enough times, it would be ""It's a Wonderful Life"". The characters, the situations, the message all come together in a way that intrinsically defines it as a Christmas movie, but when you get right down to it, the film transcends Christmas in a way that's truly heartwarming and magical. Jimmy Stewart had that unique ability to put the Everyman into his roles, and this picture certainly qualifies as one of his finest performances. Donna Reed could not have been a better choice to play Mary, displaying a wholesome sex appeal to go along with those traditional home town American values that pictures of the era were so skillful in portraying. Had Director Frank Capra made only this one picture, it would have earned him recognition as one of the true masters of cinema. I could go on and on, but there's really no point in trying to heap further accolades on a picture that has earned it's place in American film right at the top. Watch it, and watch it again, and in taking the picture's message to heart, reach out and help an angel earn it's wings.","
            9/10
            "
"alansabljakovic-39044","25 December 2019","This is basically my only Christmas tradition movie. I have to watch this every Christmas or else I would go nuts. James Stewart really steals the scene with his acting and beautiful charm. He was great in every movie I've ever watched him in. It is wonderful, it is funny, it is touching and it is human.","
            9/10
            "
"Leofwine_draca","17 January 2014","Frank Capra's 1946 drama/fantasy IT'S A WONDERFUL LIFE is one of the best-remembered films of all time, and it's no surprise; this moralistic tale of human suffering, poverty, greed, courage and determination is one that resounds through the ages, particularly so in our modern age of fat-cat bankers and a growing gap between rich and poor.James Stewart gives a dependably decent turn as George Bailey, a family man who finds himself at the mercy of Lionel Barrymore's criminal banker, Mr. Potter. What follows is lengthy and often profound, an occasionally twee but ultimately moving exploration of the human character and the effect one man can have on his world.What I particularly liked about IT'S A WONDERFUL LIFE is the way that every part of the narrative hangs together without any unnecessary extras. Even the little bits like the accident on the ice at the outset later come back to haunt our characters. It's very well written, and expertly directed by Frank Capra; an unashamedly old-fashioned, heart-warming and sentimental piece of movie-making on a grand scale. I'd even go so far as to call it the ultimate Christmas film.","
            10/10
            "
"claudio_carvalho","5 January 2007","On the Christmas Eve of Bedford Falls, the guardian angel Clarence (Henry Travers) is assigned to convince the desperate George Bailey (James Stewart) to not commit suicide. George is a good man, that sacrificed his dreams and his youth on behalf of the citizens of his small town. He inherited the loan business of his father and he gave up traveling the world and joining the university as scheduled. Later he resisted the proposals of the evil banker Mr. Potter (Lionel Barrymore) and has never sold his business to protect the poor community of Bedford Falls and offer a means to afford to buy their own house. He married his beloved Mary Hatch Bailey (Donna Reed) and had four children with her and a tough life with his family. When his uncle Billy (Thomas Mitchell) loses US$ 8,000.00, found and stolen by Mr. Potter, George decides to commit suicide, since he believes he worth more dead than alive. When Clarence sees that he is not able to persuade George to give up his intention, he decides to show the life in town if George had never existed. George concludes that life is wonderful.""It's a Wonderful Life"" is certainly one of the most beautiful movies of the cinema history ever. This masterpiece has a touching and moralist story, showing that the famous sentence that a man can make the difference is true. Everything works perfectly in this movie. The original screenplay develops the situation and the characters accurately, using flashbacks and magnificent lines. The direction of Frank Capra is outstanding as usual. The cinematography in black & white and using shadows and lights is fantastic. James Stewart leads an amazing cast, showing a perfect chemistry with the gorgeous Donna Reed, in the role of a compassionate and enlightened good man. Lionel Barrymore is also amazing in the role of the despicable banker. I do not recall how many times I have already seen this film, but last time was 16 Dec 2000. This is the type of movie that a lover of cinema will never get tired of watching many times. My vote is ten.Title (Brazil): ""A Felicidade não se Compra"" (""The Happiness Is not Bought"")","
            8/10
            "
"r96sk","26 December 2020","Lovely film.'It's a Wonderful Life' is enjoyable, hearty and well crafted. It takes longer than I would've predicted to get to 'the event', but it's very much worth seeing the journey that comes before - as we see the arc of James Stewart's George. It all crescendos with an ending that you can't help but smile at.Stewart is excellent in the lead role, you really do see every single emotion that his character goes through. He is, by far, the standout performer, but there are of course good performances from the likes of Donna Reed (Mary), Lionel Barrymore (Henry) and Henry Travers (Clarence).I did notice a few weird cuts in there, not that I hold that against it or did it affect my enjoyment - it's just noticeable. I see, via other reviewers, that there's a colour version - Channel 4 showed the black-and-white version over here in the UK. I can't say I felt the need for colour, which is always a good sign.Wholesome. Not that it, evidently given the average rating, needs to be said by someone like me, but: I'd certainly recommend this.","
            9/10
            "
"Sleepin_Dragon","4 November 2023","George Bailey gives his all for the people of Bedford Falls, big hearted and selfless, George puts the needs of others before himself, pushed to breaking point, he contemplates suicide.I feel almost guilty watching this grey film in November, as it's definitely one of my Christmas watchlist, but with the decorations appearing, and the mince pies in shops, I thought, why not.Nobody does it quite like Frank Capra, there is a depth to this movie that's quite something, it's a story of greed, hope, compassion and humanity.The story resonates as much today, a tale of the little guy taking on the unscrupulous, wealthy greedy big business (some things never change, right!)It's light hearted for the most part, but there are some very bleak moments thrown in, that scene where people demand their money, and that heart stoping moment where George vents his frustrations on his Uncle.So many moments tug on the heartstrings, it's no wonder it's a festive favourite, but it deserves its place as one of the greats, not just a Christmas great.9/10.","
            10/10
            "
"mark.waltz","25 December 2018","In looking at this glorious Christmas classic, it's easy to get so involved in the psychology behind it. we obviously become so caught up in our own lives that we often forget about how others around us have influenced who we become and vice versa. This film, which has been redone in many different forms, including taking popular characters from TV shows, both daytime and nighttime and putting them in the same situation as Jimmy Stewart, truly stands the test of time. Not only is it watching one man's slow destruction from things that seem to be beyond his control, it's seeing how one person can deal with the ruthless machinations of the pure evil around him and open the eyes of everybody else to see what's really going on.In a return to the Christmas theme that he earlier used in 1941 classic ""Meet John Doe"", director Frank Capra saves the seasonal Twist of the story for the film's last half-hour. An unseen angel is sent to a small town to aid a possible suicide victim when the actions of the greedy and evil Lionel Barrymore threatens to send him to prison for embezzlement. Stewart's life is seen in flashbacks for much of the film, but when the film joins the present day, it is almost like it has gone some 70 years into the future to today with Barrymore representing the truly evil Scrooge like banker who wants to control everybody's life.It is quite a shocker to see Barrymore playing such a nasty, evil man after playing the kindly Dr. Gillespie in the series of MGM medical dramas. he is basically expanding the role of Scrooge which he did on radio for many years and adds an essence of true malevolence to his characterization. Even Scrooge wasn't as crass as his character here. It seems to be a continuation of the role that Edward Arnold played so beautifully in Capra's earlier films ""Mr Smith Goes to Washington"" and ""Meet John Doe"".The lovely Donna Reed crosses over from MGM ingenue to classy leading lady, adding much depth to her role of Stewart's girlfriend, later wife, with Beulah Bondi saintly as usual his lovable mother. (Bondi played Stewart's mother in so many films and on TV that it is obvious that somehow in real life, he did call her ma.) Then there's Gloria Grahame as the town flirt, Thomas Mitchell as Stewart's rascal uncle, and of course Henry Travers as Clarence, the angel who desperately wants his wings. The smaller roles are filled out by many familiar actors, some of whom were in pretty much every Capra film, as well as Danny Mummert and Larry Simms, both from the ""Blondie"" series and Karolyn Grimes, an underrated child star who stole many movie programmers in the mid-1940s.There are so many other things to credit for this film's excellence beyond the cast and direction, namely the brilliant script, fast pacing and brilliant production design. This film holds up regardless of whether you see it in its original black-and-white form or it's decently restored colorized version. I'm not in favor of colorizing classic movies, but somehow this one actually came out all right. while I watch this one every other year rather than every year, I can say that I am continuously touched and discover new seems in its that I had not seen before. It is no wonder that this is on nearlt everybody's list of the top Christmas movies of all time.","
            8/10
            "
"SPZMaxinema","17 December 2021","This is what one would call a genuine feel-good movie, especially if you're looking to get into the Christmas spirit with loved ones! The humor in this film still works and the main actor James Stewart puts on a great performance. One of the best black and white movies I've seen!","
            10/10
            "
"bradman2000","18 April 2000","After strong performances in films such as ""Mr Smith Goes to Washington"" and ""The Philadelphia Story"", James Stewart confirmed his status as one of the greats with his performance as George Bailey in ""It's a Wonderful Life"". This movie is, without a doubt, the best of all time.""It's a Wonderful Life"" is a movie that you can watch over and over again. It's movie that makes you think, about life in general and how each person makes a difference, and about how great life can be (hence the title ""It's a Wonderful Life). Whilst making you think, it also entertains with many light hearted moments, particularly towards the end of the film.
The direction, sound and casting in ""It's a Wonderful Life"" are second to none.  Yet it is the fact that almost any person can watch this movie and come away feeling inspired that makes it easily the best movie of all time!A 10/10 without a doubt!","
            10/10
            "
"Sunsphxsuns","15 December 2021","If you were to ask me what Holiday-themed film I enjoy the most and never get tired watching, my answer would invariably be, Frank Capra's ""It's A Wonderful Life"" (1946).Of course, there are many other great holiday movies that are also genuine cinematic treasures, even though they're not as well known as ""It's A Wonderful Life."" My ""must watch"" holiday list includes many of the black and white classics I have previously reviewed on IMDb such as, ""Holiday Inn (1942),""It Happened On 5th Avenue,"" (1947), A Christmas Carol (1951),"" ""Christmas In Connecticut,"" (1945) and although it's in color, ""White Christmas"" (1954). And for good measure I still immensely enjoy watching ""Home Alone 1 & 2"" (1990-1992) and the charming trilogy, ""The Santa Clause"" (1994-2004-2006).Nevertheless, ""It's A Wonderful Life"" is the singular holiday film that continues to resonate with me on multiple levels. It is a supremely powerful story of self-worth and destiny, bolstered by superb acting, laced with unforgettable characters like George Bailey, Clarence Oddbody, and Mr. Potter, thoughtful cinematography which perfectly captures the small town ambiance of Bedford Falls, sharp editing (no surprise since Capra began his film career as an editor), a beautiful score by Russian composer Dimitri Tiomkin, and more memorable quotes than could ever be listed here.Ironically, ""It's A Wonderful Life"" may never have popped up on anyone's cinematic radar screen had the proper copyright ownership documents been registered. How this error occurred is fascinating.The original 1945 ownership of ""It's A Wonderful Life"" belonged to Liberty Films, an independent motion picture production company created by the film's brilliant director, Frank Capra. The following year, Liberty was purchased by Paramount. Ten years later, in 1955, M. & A. Alexander subsequently purchased the rights to the short story, ""The Greatest Gift,"" on which the film was based. With the purchase also came the rights to the film itself, television syndication, and the music score. Shortly thereafter, National Telefilm Associates (NTA) became the new owner. Amazingly, a clerical error meant NTA had neglected to renew its copyright. By 1974, the movie fell into the ""public domain.""In essence, Capra's masterpiece no longer had copyright protection, and therefore, anyone could make copies of the film, package it anyway they chose, all without having to pay for it. Because of this, television studios began broadcasting ""It's A Wonderful Life"" during the Christmas holidays, while dozens of other companies packaged and sold the film in various media forms such as VHS, and later, Laser Disc and DVD. The good news- This nearly forgotten film was now being seen for the first time by millions of people. The bad news - Many of the reproductions were of poor quality, with some crudely edited down from the original 131 minute run time into a shorter length to accommodate TV scheduling. Nevertheless, these unusual series of events managed to breathe new life into Capra's stunning film for future generations.As often occurs with films destined for immortality, ""It's A Wonderful Life"" was initially a financial box office failure, although it was nominated for five Academy Awards (including Best Picture) and has been revered by the American Film Institute as one of the 100 best American films ever made.There's nothing more I can add to this review that hasn't been covered already by other astute IMDb reviewers, but I will say that if you have still not seen ""It's A Wonderful Life"" by now (2021) then stop whatever you're doing and buy the BR, DVD, or stream it. I'm confident even after your first viewing you are going to feel like you've just seen one of the greatest films ever made, and you would be absolutely right!No spoilers here as usual but I will reveal that while much of the film happens in the fictional town of Bedford Falls during a very cold, snowy, Wintery Christmas holiday, it was actually filmed in Southern California which was experiencing a sweltering record heat wave!","
            8/10
            "
