"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"thejdrage","11 February 2024","This looked good and once Ólafur Darri Ólafsson entered the scene, I remembered that I'd seen this before. Add in Danielle Macdonald (the trainee constable) and Damon Herriman, you know it's going to be one hell of a good show!The scenery is, at times spectacular. And others, down and gritty. Kinda like the story itself.The story is filled with twists and turns as you learn a bit more about who - and what - the tourist really is, so don't take a break without putting it on pause.I'm glad Netflix put this on ""rerun"". I've actually run out of things to view and this is refreshing and actually smart. What a change from the usual stuff that's out there now.Give it a whirl - and you'll be up at 4 AM too if you binge it too late in the day.","
            8/10
            "
"neil-douglas2010","3 January 2022","Very easy to binge watch thriller serial, Doran is good as the main character but the star of the show is Danielle MacDonald as wannabee Police Officer Helen Chambers. Well paced at all times and Miss Fisher Murder Mysteries fans look out for a small cameo role from Nathan Page.","
            8/10
            "
"ianlouisiana","21 January 2022","....of almost Marxian humour seeded throughout this violent and
incomprehensible thriller.Lots of eccentric characters appear on the periphery and then are disposed of in the glint of an eye.'The Tourist'is refreshingly free of the almost incestuous group of British TV actors apparently deemed so essential by our production companies and chat show producers as they smugly plug their latest 'Line of duty'clone.Noone I ever heard of is in it and it wasn't written by Jed Mercurio.Two points in its favour in my book.There is nothing remotely original in its 'Who am I' storyline,the main
merit of this series rests in its disparate side issues.Here we have no Sarah Lancashire/Nichola Walker/Siobhan Finneran
'strong woman in a man's world' cliche figure,but a wannabe but not quite up to it one,determinedly and bloody mindedly sticking at it despite her obvious unsuitability.I laughed out loud in some places and winced in others.There are enough psychos per square foot to satisfy any fan of the
Palace of Westminster and it's even funnier than PMQs.","
            9/10
            "
"jeff-2051","8 March 2022","I don't know what else to think about the poor reviews other than brain damage from 2-years of irrational terror. This is an excellent mini-series on all levels. That there are so many people unable to watch 6-hours of premier entertainment without bothering to watch the entire thing . . . It must be brain trauma caused by our clown world.Just watch it.","
            8/10
            "
"Laight","15 February 2024","The Tourist is one of those rare shows that provides exactly what you want it to: it's a taught thriller with some old tropes -- amnesia, vicious drug lords, femme fatales, the woman with the heart of gold who wants to save the hero -- that are presented in way that manage to make them feel fresh and original due to the excellent direction and script.Most of all, however, the show's success is due to the two leads. Danielle MacDonald plays one of the unlikeliest heroines in a long time; she plays the ungainly, unglamorous part perfectly. But it's Jamie Dornan, the pretty boy, ex-model, former Shades of Gray guy who turns in a wildly riveting performance as the show's anti-hero. His acting is so perfectly on the mark it's hard to imagine anyone else in the role.","
            10/10
            "
"mgumsley","14 January 2022","This series features Jamie Dornan, so i figured it had to be worth a watch, and for the most part, it has been. I couldn't even begin to explain the plot, which is so convoluted I would get lost, but for the most part it has been an entertaining ride, with car chases, shoot outs, and perhaps best of all some really engaging characters. I say engaging in the loosest sense, because poor old Jamie has amnesia, which isn't very helpful considering the trouble he is in. One of the ladies, Helen the unlikely cop, is an absolute scene stealer with a bumbling manner and a cute face, and good though Dornan is, once she is on the screen your eyes are on her. There are other memorable characters, notably the Icelandic actor whose name I can never pronounce, who is a bit of a scene stealer as a horrible villain.It's beautifully shot in a rather bleak part of Australia and the heat and the desolate nature of the terrain is captured so well. The plot wasn't so great but perhaps with entertainment like this you are willing to suspend disbelief and just enjoy the ride.","
            8/10
            "
"PeterGaskell","12 January 2024","PROS of Season 2The setting - amnesiac Elliot on quest to find his identity with his love interest Helen get caught up in a violent feud between Irish crime gangsThe twist - a revelation when all surviving characters have assembled to resolve long-standing feud, as mutually-assured destruction seems to be the inevitable outcomeCharacterisation - clear and good mix of characters well-intentioned, villainous, familial & comedicHumorous moments contrasted well with dark themes, particularly involving EthanCONSPlausibility - e.g Elliot running down road to escape chasing kidnappers in van when he could have fled into open country, box of love letters Niamh buries when she should have destroyed or secured them in a bank if she didn't want anyone to find themPace and Dialogue were leaden at times, particularly in Helen's kidnap scenes and her coma dream sequenceConfusing historical references to encounters between McDonnell and Cassidy families e.g who was the original Elliot Stanley who spent £1 million on a bottle of whiskey to negotiate a truce with Frank on a boat, a Cassidy one presumes if Frank slit his throat?Niamh's reference to a dead uncleName confusion - who gave the protagonist Eugene the name Elliot after Elliot Stanley and why? Why give Helen's ex-partner Ethan a name too similar to Eugene and Elliot?Conclusion - Season 2 not as gripping as Season 1. Spoiler alert - seeing Eugene's file showing his history as a secret agent I guess is the marker for Season 3.","
            6/10
            "
"neil-3-696238","10 January 2022","I saw so many bad reviews about this. I thought it was quite good. Take it for what it is. A dark comedy. Lots of people get killed. Daft plot twists. It isn't a serious drama. If you take for what it is, it is quite fun.","
            7/10
            "
"bgsmall","28 January 2022","Caught on BBC iPlayer over January. This was ostensibly sold to the viewer as a drama, but it was a drama that really utilised the full range of human experience and emotion. Opening as a thriller in which we're tyring to work out who the 'unknown man' is and why 'they' are trying to kill him, it progresses via some cunning plot twists, veering between occasional comedy, suggested romance and then towards some dark, dark and tragic corners of what human beings are capable of.Shot (I guess) in Australia, this was a great alternative (to UK, US) location and a chance to get to see a country I've never been to. Also the series subtlety (IMO) provides an impression (how accurate - I don't know) of life in Australia's more rural enclaves. Definitely worth a watch for Jamie Dornan's and 'Helen's' (Danielle Macdonald) performances, plus a strong supporting cast. Also the choice of locations for different scenes (e.g. Houses, bars) definitely echoed the mid-century modern interior / exterior architecture feel that I've seen in many other current ( ~ last 5 years) sitcoms and drama's. All in all - worth a watch!","
            8/10
            "
"justahunch-70549","9 March 2022","Not perfect, but quite the trip down a rabbit hole with two wonderful performances and some fine supporting ones as well. This tale of a man who suffers amnesia, after a car crash, trying to find out who he is while others seem to want him dead is a fun thrill ride full of oddball characters that entertain throughout. Danielle Macdonald is a charming delight from start to finish, however Jamie Dornan is the focal point and he is captivating as a man mystified, surprised and puzzled by everything presented to his thoroughly blank mind. It's a tough role to pull off, but this increasingly fine actor makes it work.","
            9/10
            "
"sameldenlee","3 January 2022","Great mini series. Jamie Dornan is a great actor. I first saw him in The Fall, his brooding presence and hints of psychopathy in this gave me nightmares for a while. He has the ability to convey what lies beneath his exterior just with a look. The fifty shades series sadly did not allow him to show his full potential and was a dire set of films based on a dire set of books.The Tourist however shows a great return to form from a man that has depth, dark humor and a great screen presence. Initially The Tourist appears to be the story of an unfortunate man embroiled in something he cannot remember and he doesn't understand the events unravelling around him. However as the plot progresses the initially likeable main character has you questioning his veracity.Touches of dark humour are sprinkled through the plot with some truly great cameos make some of the characters appear flawed and thoroughly unpleasant (Ethan).Mr Dornan however allows his character to evolve and has you questioning his story to the end.Loved this, nice to see something a bit different that kept me guessing. More please Jamie!","
            8/10
            "
"Zomabur","3 January 2022","Firstly I don't understand why people write reviews of a series when they haven't seen or have 'no intention of watching' every episode.The Tourist gets better as the story unfolds. I thought all of the characters were great & I didn't spot the 'bad acting' some other reviewers have mentioned.Yes it does remind me a bit of Fargo but I thought Fargo was fantastic so I don't see the problem there!I thought Helen was a lovely endearing character and her fiancé, well, he so deserved it when she finally told him what she really thought, she was way too good for him!The end was a twist I didn't see coming, I thought the woman would be his sister or perhaps mother especially when she first showed the scar I wonder if the character thought so too.Giving the money to Sue was a great touch - she was kind and deserved it.Anyway, ignore the bad reviews, this was thoroughly entertaining, great story telling & well worth a binge watch!","
            8/10
            "
"a_prill","15 January 2022","Despite a few clunky plot points it's a very engaging story and the two main actors are wonderful, especially Danielle MacDonald. We had a great weekend binging it.","
            8/10
            "
"walttechbc","2 January 2022","Unlike some,I don't pick apart a series or movie because I strictly watch it for entertainment. True stories or documentaries,I mostly watch for info,education,or because I'm interested in the subject. I also read many history books.This show is great entertainment and we,my wife and me, had a great time watching it. Anyone can pick apart any show and their actors but if you want a good,crazy,series,this is it. ... Hope this helps !","
            9/10
            "
"gallagherkellie","5 January 2022","Ok as an Australian I am slightly embarrassed for international people to watch this as it isn't a true representation of Australia or Australians. But I'm hoping everyone realised this.Apart from that, one of the main characters was quite annoying but everyone else was good and the acting was great. I laughed a fair bit and I enjoyed the more gory scenes too.It's an easy watch, becomes very silly but it's a dark comedy so I'm not going to take the plot too seriously. I just wish the characters would have a shower once in awhile...
All in all I'd give it a 6/10 and will probably watch season two if there is one.","
            6/10
            "
"bosporan","2 April 2022","By episode three something should have happened. The cinematography is a muddy monochrome, the plot is laboriously slow and the characters uncharismatic. Will watch the rest if I ever lose the will to live!","
            3/10
            "
"arrmeen","21 April 2022","This is one of the shows which isn't a Reacher going frame to frame with Pacy action and thrill in a heartbeat , it's not fully loaded with action completely but it doesn't let you stop from binging it either cause of the story elements and the thrill. The characters playing their part, The Man, The lady cop, The mystery girl, and the Cowboy executioner all play their parts to perfection. By the time it ends it's first season you definitely want a second season. So watch this for it's unique story, presentation and cinematography and you won't be disappointed. Worth a a season 2.","
            8/10
            "
"sallye-65221","3 January 2022","I'm not entirely sure if I'm reviewing the same thing, looking at most of the others who are panning it. The characters are great and well cast...with a bit of humour here and there. Possibly Brit and Aussie humour that some wouldn't appreciate or get. It is laughing at certain stereotypes in a humorous way.No matter, a vast improvement on a lot of dramas that the BBC have churned out over the last few years. They have to. They're competing with Netflix and ITV who are releasing some good stuff.","
            8/10
            "
"wheatley-20230","3 February 2022","... which leaves me less than certain as to what to think of this series. Unusual characters in quirky situations is a promising start. Jamie Dornan's presence elevates whatever he is in. Australia's threatening landscape adds flavour.But the whole of the penultimate episode is fueled by an accidental dose of LSD bringing on snatches of disjointed memory recall. It got wearying.The enigmatic ending clawed back some credibility.","
            7/10
            "
"OneAnjel","23 February 2024","This is regarding S1 since S2 isn't actually released yet. Not sure why I'm seeing reviews for it. It was a bit hard getting through E1 with a big event then not much. The intro of Helen made it feel poorly acted initially. The last minutes of E1 make me check out E2. 3 & 4 were also good and keep dropping breadcrumbs. There was some interesting clues and situations. But E5 & 6 took too much artistic leeway. I appreciated the conceptualization for the flashbacks but it was such a different mood. 6 also veered from the quirky gritty story somewhat.The high praise for Danielle in the reviews seems suspect but maybe she's a big star in Australia. I found it hard to like her initially (Helen). Her character makes sense but it's just really over the top with the sappy personality and apologetic expressions as well as trying to make their point about low self esteem and the definition of beauty. It seems almost comical. It just didn't feel authentic. I mean, at least with Drop Dead Diva we knew it was a fantasy.There is some humor here but it's not enough to add comedy to the genre. People saying it's like Fargo have seen too few dark comedies - it's nothing like Fargo. Momento maybe.I assume they circle back in S2 to clear up how Elliot could be an accountant and also a drug cartel. But I'm not sure I'll be watching. I loved the first few episodes but with 5 & 6 i started just hoping it would end. I also dislike the idea of Helen and Elliot being a couple. I like them as the involuntary friends who find a camaraderie.","
            6/10
            "
"CrazyArty","23 February 2022","An Irishman wakes up in an Australian outback hospital after a car crash. He can't remember anything about himself or the crash.The first couple of episodes keep you engaged but then I started to lose interest. It tries to create tension but doesn't really succeed. Was bored for the last few episodes.Overall it's nothing special; charmless and unengaging characters, an unbelievable story with too much going on.For 6 hours of my life, it should be better than this.","
            5/10
            "
"mariopilloni","6 January 2024","Season 1 was good. Season 2 is stupid. Show's good, entertaining but flawed. I think the character of Helen was hugely miscast. Danielle Macdonald was tolerable in season 1 but she spoiled season 2. She's just not that strong of an actress. She's irritating and she can't deliver the dialogue effectively given to her. She can't show any expression beyond an ""I'm constipated"" look. I know it's meant to have a comedic tone but there are too many unlikely scenarios which occur. Season 2 is hugely muddled and confused. It's a shame because it's a good premise and Season 1 was flawed but enjoyable. Season 2 spoiled it.","
            6/10
            "
"ozjosh03","4 January 2022","Oh dear. This shockingly fourth-rate production aspires to be an outback thriller with a comic bent. But before the humour even has a chance to fall flat - which it soon does - the plot collapses under the combined weight of rolling implausibility and cliches by the bucket load. In the opening sequence a car is pursued along a highway, then off-road across the desert by a massive road train, which somehow both out-runs and outmanoeuvres the car. It defies all automotive logic. The police subsequently find a camera near the scene of the crash, yet no sign of how the crash occurred. Really?! No sign of the road train's tyre tracks metres from the over-turned car? No sign of the several kilometres of tyre tracks from the high-speed pursuit?! Amazing. The investigating cop later declares he's from the ""Burnt Ridge Police Force"", which tells us only that the writers did zero research into how police forces in Australia are organised. Meanwhile, a funny-fat probationary cop tosses off northern-english colloquialisms like ""any road..."", an expression that no Australian-born person has ever used. Later, it transpires that the local police have heard nothing about the bomb explosion at the cafe in a nearby town - an event that, if it occurred anywhere in outback Australia, would be about as momentous as 9/11. And all of this in the first episode. Suffice to say, I will not be bothering with the second. It's hard to believe this tosh is actually a BBC/HBO co-production. Or that either company feels okay about producing a series in which almost every Australian character is there to be the butt of various dimwitted local yokel jokes. The three stars are for Jamie Dornan, who clearly needs to get a better agent.","
            3/10
            "
"Almost_Soldout","5 January 2022","I would only recommend it if you have already watched all other shows streaming these days. It's not too bad but not good at all. It's a Slow, pretentious, Coen-inspired but clumsy show with some amount of cheese twists on it.Upd. Just finished the last episode and it's really bad, lol. I guess it's bad try of making comedy. Waste of time.Ps all positive reviews and vote must have been left by this show crew.","
            4/10
            "
"ksf-2","14 March 2023","A six part series from australia. A man is run off the road by an eighteen wheeler, in the outback of australia. When he wakes up in the hospital, he realizes he has no memory of what happened. And apparently, someone is still out to get him. And all he has to go on are some photos in a camera that may or may not even belong to him! When he does figure out who he is, he wishes he hadn't. More and more details of his past are starting to come to light. It's a good story! Suspense and drama, once things get going in episodes two and three. As of today, one season is available on hbomax, but there are plans for a second season, according to wikipedia dot org. Let's hope that everything is answered before it disappears, like ""cybill"". Good performances, good, solid story. Some rough language and violence. Some blood and guts. Accents that come and go. Directed by daniel nettheim, chris sweeney. Story by jack and harry williams.","
            7/10
            "
"anthonyjlangford","6 January 2022","Starts off with an obvious rip off of Spielberg's Duel, inches into the realm of the unbelievable very quickly and stays there. After 50 years you'd think filmmakers would improve on that very basic concept but it falls spectacularly short. Good photography but poorly realised. It's badly written from the get go. Dialogue, scenarios and staging.One unrealistic set of circumstances after another. Half Australia, Half American cliches. I was waiting for the tumbleweeds to go trundling down the road.Cardboard characters. Woke BBC style casting. If casting black actors in the outback at least make them indigenous. (The doctor and the waitress). Oh they're dark skinned, nobody will notice. Insulting.Characters talking over each other which was a new thing in film about 25 years ago but now it's also a cliche ""Oh yeah. Yes, of course yeah.. no, I meant, yeah.. okay.'Atrocious dialogue such as 'I thought he was two sausages short of a full breakfast.' Seriously, nobody talks like that. This was worse than some Chips Rafferty drovers fest from the 50's. I was waiting for Skippy to jump in and give him some advice. 'What was that Skip? Some bad people are after us? Better call the police hey Skip. Pity we only got the chick from Fargo.'Dornan is a good actor so it's hard to comprehend why he would do this series other than perhaps he wanted to visit the Outback for himself. Plus they threw heaps of money at him. He surely must have seen that the script was woeful, unless he too believes that Australians really talk and act this way. Plus those fair dinkum Aussie sheilas aren't too bad on the eye, hey mate!If you want to see a good Australian film set in the Outback watch Wake In Fright, Walkabout or Mystery Road. All far superior to this crud.Or Steven Spielberg's Duel, Mad Max or even Road Games for some genuine action. Revisit Crocodile Dundee or Wolf Creek. Anything but this. Even Skippy!Stars only for the photography and some locations, when it isn't dressed up to look like the American West. Good production value (they had money), inept, derivative, immature, inaccurate, ineffectual script.This is uglier than a bunch of fair dinkum hungry redbacks havin' a pissup under a dunny seat and just as stinky.","
            4/10
            "
"alindsayal","5 January 2022","BBC released all of the episodes of The Tourist on New Years Day and I have now had the chance to watch all 6 of them and here is my review for The Tourist. The premise of the show sees a man lose his memory after a car accident and have to survive while trying to piece together what exactly is going on.Main Character
Jamie Dornan plays the lead character in the show and he is really good. He brings plenty of intensity and dark comedy to the role and it really works, we are on a journey with this man and the show does a good job of making you care about this man. Obviously Dornan is mostly known for his role as Christian Grey in The Fifty Shades of Grey films but performances like in The Fall and this show does a better job in showing just how diverse and great an actor he can be.Supporting Characters
Shalom Brune-Franklin who was also in Season 6 of Line Of Duty is in this show and she is also great. The dynamic between her and Dornan is handled incredibly well and they are just really fun to watch together. She is also a really interesting character and as you learn more about her it just makes you ask even more questions. Danielle Macdonald plays a police officer involved with the situation and she does a pretty decent job, she is a fun change to Dornan's pretty aggressive lead character. They don't do a great job with her story but there is no denying Macdonald does a good job in her role. There are a few other characters that come in and out of the show but they leave little to be desired, either they are just generic or they are just annoying.Story
The story has so many twists and turns that makes you want to keep watching and had me loading up another episode pretty much straight away. It is an intriguing watch and you are learning alongside our main character and that makes us care and understand his way of thinking throughout the show. But some of the side plots don't work, especially Macdonald's character and her relationship it is so frustrating and annoying to watch. The ending also falls a bit flat and I don't know if it is trying to get a second series but it trundles to its conclusion which is disappointing.Script
The script is okay, there is some good use of dark humour and as I mentioned the twists and turns are there a plenty. But there does seem to be a lack of depth to the end result and the end of the show just feels a bit hashed together and like they couldn't work out what they wanted to achieve.Style
The show has a pretty cool look to it, Australia is a place that isn't used enough in mainstream TV and Film so it is nice to see it showcased here. When the action hits, it does it well enough and with those cliffhangers does an effective job of keeping you watching. But the actual pacing of the episodes aren't great, they are a bit slow and at times plod along with things not being that interesting.Overall
Overall, The Tourist is an above average show that has some good bits. Though I would say this is one for people who watch plenty of TV and have time on their hands or else maybe give it a pass.Rating - 6/10.","
            6/10
            "
"c-pemberton1","4 January 2022","Twists and turns through a desolate Aussie landscape keeping you guessing all the way til the end. Amnesia victim Jamie Dorman is on someone's hit list but who is he and what has he done to get this attention. No one is what they seem in this Aussie acid trip. Slow burner that draws you in and intrigues you all the way. Interesting characters and some stylish photography keep you watching. Really enjoyed this quirky series.","
            8/10
            "
"Supermanfan-13","22 February 2024","I've noticed that The Tourist has been on Netflix's Top 10 since it came out earlier this year. The first season originally came out in the U. K. in 2022 where it was the most watched show of the year there too. I finally got around to watching it and have to say I really enjoyed it. It does start a little slow in the first episode so you might feel like giving up but don't, stick with it because it's worth it. It really picks up about midway through the second episode. All the actors give really good performances, especially Jamie Dornan. They really pull you into their world to the point where you really start to care about their characters and what happens to them. I really couldn't wait to find out more and more about Dornan's identity.","
            8/10
            "
"DiCaprioFan1","22 February 2024","I found that The Tourist is even more entertaining than people were saying it was. The Tourists follows an unnamed man (Jaime Dornan) who loses his memory after a car accident. We literally know nothing about him or the story. He wakes up in a hospital with no memory of who he was or what he did. All he has is a note to go to a diner at a specific time but as soon as he leaves the hospital there are people trying to kill him. From there he needs to find out who he is and what he did for people to want to kill him before it's too late. Jaime Dornan looks like he's on the verge of becoming a pretty big star. There are only two seasons at only six episodes apiece so it's an easy binge.","
            8/10
            "
"avonmore-76782","7 September 2022","...and somehow boring. Tries to be clever with little success. You simply are never really interested where the main character comes from and where he will end up. I have never been to Australia but even there the police can hardly be so incompetent and ignorant apart from, of course, the unrealistic do-gooder Helen Chambers... The rest of the characters are also uninteresting and remain superficial. There are certainly much better alternatives, such as Fargo, which has already been mentioned several times in other comments. So do yourself a favor and don't even start watching this hillbilly charade...","
            3/10
            "
"ljboden","25 July 2023","I'm really not sure how this has scored so highly.The people giving this decent marks must like Miranda and Mrs Brown's Boys.Why does everything have to be quirky? Just make a gritty drama and leave out the Benny Hill stuff.I hated it after the first episode but had to continue watching it because my wife wanted to. I'm guessing she liked it due to the lead actor rather than any Oscar winning performances and quality writing.The acting is cringe- eye watering cringe. Every outback cop is a bumbling idiot. Mandy Dingle would make a good Chief of Police here.Unbelievable characters, excruciatingly slow story and not funny in the slightest. Was it supposed to be funny? It isn't.Save yourself the pain, this is dire.","
            2/10
            "
"mmillington554","8 January 2024","I was going to start by calling it enjoyable, but given all the violence in it, perhaps that's the wrong word to use. It certainly had an engagement factor, with a twisting, turning narrative, and the acting was very good, but ultimately it just failed to gel properly. The story become rather preposterous, unconvincing, and is a terrible advert for Ireland, where almost everyone seemed to be a viscous, violent psycho killer caught up in inter-family feuds. The other characters, like the Australian ex-boyfriend and the Irish policeman were just plain daft. It didn't really live up to the standards that series one set.","
            5/10
            "
"hacheaime","12 January 2022","This new series disregards many codes and brings some fresh air into the world of thrillers. It is also filled with humour even if it is sometimes difficult to grasp for americans.","
            8/10
            "
